title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",[ Walter Shields],24.99,24.99,249,4.6,"1,358",72%,18%,7%,1%,2%,7.5 x 0.57 x 9.25 inches,15.5 ounces,English,ClydeBank Media LLC,978-1945051753,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1
Monty Python And The Holy Grail,,,,,,,,,,,,,,,,,/Monty-Python-Grail-Graham-Chapman/dp/B07PGCJM9V/ref=sr_1_54?keywords=python&qid=1671164641&sr=8-54,https://www.amazon.com/Monty-Python-Grail-Graham-Chapman/dp/B07PGCJM9V/ref=sr_1_54?keywords=python&qid=1671164641&sr=8-54
Python in easy steps,,10.69,10.69,192,4.6,386,74%,14%,8%,2%,2%,7.25 x 0.5 x 9 inches,15.2 ounces,English,In Easy Steps Limited,978-1840788129,/Python-easy-steps-Covers-3-7/dp/1840788127/ref=sr_1_58?keywords=python&qid=1671164641&sr=8-58,https://www.amazon.com/Python-easy-steps-Covers-3-7/dp/1840788127/ref=sr_1_58?keywords=python&qid=1671164641&sr=8-58
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),[ Programming Languages Academy],19.38,19.38,234,4.4,56,73%,8%,10%,4%,4%,6 x 0.53 x 9 inches,11.4 ounces,Spanish,Independently published ,979-8642649534,/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53,https://www.amazon.com/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"[ Antoine Jacquier, Oleksiy Kondratyev, et al.]",49.99, 36.00 - 49.99 ,442,4.9,14,90%,10%,,,,7.5 x 1 x 9.25 inches,1.67 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1
Python Tricks: A Buffet of Awesome Python Features,[ Dan Bader],29.99,29.99,301,4.7,"1,330",76%,17%,5%,1%,1%,6 x 0.68 x 9 inches,14.3 ounces,English,Dan Bader,978-1775093305,/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56
Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,24.2,338,4.5,55,76%,8%,10%,3%,3%,7 x 0.75 x 9 inches,1.19 pounds,English,O'Reilly Media,978-1492089469,/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55
Monty Python and the Holy Grail (Special Edition),,9.99,9.99,,4.7,"10,103",85%,8%,3%,1%,2%,7.5 x 5.5 x 0.5 inches; 3.2 Ounces,,"Unqualified, Japanese (Dolby Digital 2.0 Mono), English (Dolby Digital 5.1), English (Dolby Digital 2.0 Mono)",,,/Monty-Python-Holy-Grail-Special/dp/B00005O3VC/ref=sr_1_57?keywords=python&qid=1671164641&sr=8-57,https://www.amazon.com/Monty-Python-Holy-Grail-Special/dp/B00005O3VC/ref=sr_1_57?keywords=python&qid=1671164641&sr=8-57
Python Data Science Handbook: Essential Tools for Working with Data,[ Jake VanderPlas],68.59,68.59,550,,,,,,,,7 x 1.19 x 9.19 inches,2.04 pounds,English,O'Reilly Media,978-1098121228,/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_52?keywords=python&qid=1671164641&sr=8-52,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_52?keywords=python&qid=1671164641&sr=8-52
Data Science for Supply Chain Forecasting,[ Nicolas Vandeput],51.95, 47.10 - 51.95 ,280,4.6,69,73%,15%,10%,2%,,9.5 x 0.7 x 6.6 inches,1.16 pounds,English,De Gruyter,978-3110671100,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1
"Python Tools for Scientists: An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries",[ Lee Vaughan],29.99,29.99,,,,,,,,,,,English,No Starch Press ,,/Python-Tools-Scientists-Introduction-JupyterLab-ebook/dp/B09WJXRNWT/ref=sr_1_48?keywords=python&qid=1671164641&sr=8-48,https://www.amazon.com/Python-Tools-Scientists-Introduction-JupyterLab-ebook/dp/B09WJXRNWT/ref=sr_1_48?keywords=python&qid=1671164641&sr=8-48
"Fluent Python: Clear, Concise, and Effective Programming",[ Luciano Ramalho],50.99, 25.50 - 50.99 ,1012,4.7,172,86%,7%,2%,3%,2%,7 x 2 x 9.25 inches,3.53 ounces,English,O'Reilly Media,978-1492056355,/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,[ Leonard J. Ledger],15.97,15.97,88,4.9,264,94%,4%,1%,2%,,8.5 x 0.2 x 11 inches,9.9 ounces,English,Independently published ,979-8354411122,/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46,https://www.amazon.com/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46
Boa Vs. Python,,,,,,,,,,,,,,,,,/Boa-Vs-Python-David-Hewlett/dp/B076JK1T3J/ref=sr_1_42?keywords=python&qid=1671164641&sr=8-42,https://www.amazon.com/Boa-Vs-Python-David-Hewlett/dp/B076JK1T3J/ref=sr_1_42?keywords=python&qid=1671164641&sr=8-42
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,[ Mike Cohen],54.99,54.99,328,4.1,4,70%,30%,,,,7 x 0.5 x 9.25 inches,1.5 pounds,English,O'Reilly Media,978-1098120610,/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_50?keywords=python&qid=1671164641&sr=8-50,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_50?keywords=python&qid=1671164641&sr=8-50
Preparing For A Data Interview: Learn Enough Python For A Project Or An Interview,[ Jonelle Hoop],10.74,10.74,24,,,,,,,,6 x 0.06 x 9 inches,3.04 ounces,English,Independently published ,979-8367888348,/Preparing-Data-Interview-Enough-Project/dp/B0BPQW6X5X/ref=sr_1_47?keywords=python&qid=1671164641&sr=8-47,https://www.amazon.com/Preparing-Data-Interview-Enough-Project/dp/B0BPQW6X5X/ref=sr_1_47?keywords=python&qid=1671164641&sr=8-47
Coding Games in Python (Computer Coding for Kids),[ DK],13.99,13.99,224,4.5,274,70%,17%,6%,4%,4%,7.75 x 0.63 x 9.19 inches,1.54 pounds,English,DK Children,$13.99 ,/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45,https://www.amazon.com/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45
Python for Everybody: Exploring Data in Python 3,"[ Charles R. Severance, Aimee Andrion, et al.]",0.99,0.99,387,4.6,"2,568",76%,16%,5%,2%,2%,,,English,,,/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_44?keywords=python&qid=1671164641&sr=8-44,https://www.amazon.com/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_44?keywords=python&qid=1671164641&sr=8-44
Think Python: How to Think Like a Computer Scientist,,28.99, 19.36 - 28.99 ,289,4.6,509,78%,13%,8%,1%,1%,7.01 x 0.61 x 9.17 inches,1.14 pounds,English,O'Reilly Media,978-1491939369,/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_43?keywords=python&qid=1671164641&sr=8-43,https://www.amazon.com/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_43?keywords=python&qid=1671164641&sr=8-43
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,[ Donald P. Wilson],,,100,5,126,97%,3%,,,,,,English,,,/Python-Programming-Beginners-Course-Coding-ebook/dp/B0BN99NQYV/ref=sr_1_39?keywords=python&qid=1671164641&sr=8-39,https://www.amazon.com/Python-Programming-Beginners-Course-Coding-ebook/dp/B0BN99NQYV/ref=sr_1_39?keywords=python&qid=1671164641&sr=8-39
Python for Algorithmic Trading: From Idea to Cloud Deployment,[ Yves Hilpisch],44.49,44.49,380,4.3,102,67%,14%,9%,5%,5%,7 x 0.9 x 9.1 inches,3.53 ounces,English,O'Reilly Media,978-1492053354,/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,https://www.amazon.com/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40
Python for Data Science: A Hands-On Introduction,[ Yuli Vasiliev],27.99,27.99,240,4.6,13,79%,10%,11%,,,7 x 0.71 x 9.25 inches,13 ounces,English,No Starch Press ,978-1718502208,/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38
Practical Deep Learning: A Python-Based Introduction,[ Ronald T. Kneusel],36.99, 33.92 - 36.99 ,464,4.7,38,82%,14%,4%,,,7.06 x 1.13 x 9.25 inches,1.94 pounds,English,No Starch Press , ,/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,https://www.amazon.com/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41
Murach's Python for Data Analysis (Training & Reference),[ Scott Mccoy],59.2, 45.49 - 59.20 ,559,4.4,26,68%,21%,5%,6%,,7.75 x 1.5 x 9.75 inches,2.8 pounds,English,Mike Murach & Associates Inc ,978-1943872763,/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108
Robust Python: Write Clean and Maintainable Code,[ Patrick Viafore],32.99,32.99,380,4.5,57,73%,15%,6%,2%,4%,7 x 1 x 9 inches,1.33 pounds,English,O'Reilly Media,978-1098100667,/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,https://www.amazon.com/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",[ JOE WEBINAR],14,14,175,4.6,6,65%,35%,,,,7 x 0.4 x 10 inches,14.4 ounces,English,Independently published ,979-8420836248,/EXCEL-DATA-ANALYSIS-PRACTICAL-STATISTICAL/dp/B09T2X7NWT/ref=sr_1_107?keywords=data+analysis&qid=1671164651&sr=8-107,https://www.amazon.com/EXCEL-DATA-ANALYSIS-PRACTICAL-STATISTICAL/dp/B09T2X7NWT/ref=sr_1_107?keywords=data+analysis&qid=1671164651&sr=8-107
Learning Spark: Lightning-Fast Data Analytics,"[ Jules Damji, Brooke Wenig, et al.]",40.99,40.99,397,4.7,171,80%,16%,2%,2%,1%,7.25 x 1 x 9.25 inches,1.4 pounds,English,O'Reilly Media,978-1492050049,/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,https://www.amazon.com/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,"[ Benjamin Bengfort, Rebecca Bilbro, et al.]",44.99, 44.79 - 44.99 ,332,4.4,76,63%,25%,4%,8%,,7 x 0.6 x 9 inches,1.47 pounds,English,O'Reilly Media,978-1491963043,/Applied-Text-Analysis-Python-Language-Aware/dp/1491963042/ref=sr_1_105?keywords=data+analysis&qid=1671164651&sr=8-105,https://www.amazon.com/Applied-Text-Analysis-Python-Language-Aware/dp/1491963042/ref=sr_1_105?keywords=data+analysis&qid=1671164651&sr=8-105
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",[ Tarek A. Atwan],49.99,49.99,630,4.8,16,78%,22%,,,,7.5 x 1.42 x 9.25 inches,2.36 pounds,English,Packt Publishing ,978-1801075541,/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102,https://www.amazon.com/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",[ Anthony DeBarros],27.99, 13.49 - 27.99 ,464,4.8,84,86%,8%,3%,3%,,7 x 1.04 x 9.25 inches,2.05 pounds,English,No Starch Press, ,/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104,https://www.amazon.com/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104
Dyadic Data Analysis (Methodology in the Social Sciences),,55.32, 50.99 - 55.32 ,458,4.4,24,73%,12%,7%,7%,,6 x 0.94 x 9 inches,1.45 pounds,English,The Guilford Press,978-1462546138,/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103,https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),[ John Tukey],105.99, 85.57 - 105.99 ,720,4.9,10,94%,6%,,,,6.55 x 1.7 x 9.3 inches,2.4 pounds,English,Pearson,978-0134995458,/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101,https://www.amazon.com/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,"[ Gwen Shapira, Todd Palino, et al.]",31.99,31.99,488,4.8,100,81%,16%,3%,,,7 x 1 x 9 inches,1.7 pounds,English,O'Reilly Media, ,/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100,https://www.amazon.com/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100
